Commit Date,Commit SHA,Removed EPDs 1,2,3,4,5,New bm EPD,Release tag
2023-02-27T22:07:52+01:00,876906965b8d552866486c0e6eda1184fdb1d636,None,None,None,None,19,None,
2023-03-05T16:06:03+01:00,5c75c1c2fbb7bb4f0bf7c44fb855c415b788cbf7,None,None,12,None,19,None,
2023-03-05T16:14:07+01:00,5c589142ae5714ecb9ded29bec12c591a1ba8f3f,None,None,12,None,19,None,
2023-03-05T16:15:12+01:00,3a634f5282700484445c0f66b21b35e96fcb947b,None,None,12,None,19,None,
2023-03-05T16:16:16+01:00,cdec775a1555ef83cb9c878c42a11b7dde0a627b,None,None,12,None,19,None,
2023-03-08T07:14:07+01:00,70dfa141d560c18cd1aa28884b7cd8ab0f094944,None,None,12,None,19,None,
2023-03-08T07:14:49+01:00,6ce225bb4c31298b131714eff67b56de3b8ee78d,None,None,12,None,19,None,
2023-03-08T07:16:09+01:00,39da50ed23ee3f1bd32a58c8f02471faa9a9fd63,None,None,12,None,None,None,
2023-03-14T00:41:42+01:00,a48573e15fbd18fecb087c9fc02c38a07cece68b,None,None,15,None,None,None,
2023-03-14T08:22:40+01:00,78532af9dc585a81730d5d28763cc9d5273f96d1,None,11,13,None,None,None,
2023-03-14T08:23:50+01:00,55896a1384b022624a8c33b9f7f51b6b551eed50,None,11,13,None,None,None,
2023-03-14T08:25:14+01:00,d1e17989b51f220629e4e81a4bf413974f4b18e2,None,11,13,None,None,None,
2023-03-14T08:29:19+01:00,7077fbdd1481829a0a20b6975c4245609118b938,None,11,13,None,None,None,
2023-03-14T08:38:02+01:00,f0556dcbe3ba2fc804ab26d4552446602a75f064,None,11,13,None,None,None,
2023-03-19T11:25:48+01:00,515b66f18833ed87e97313d2ec4dfa4e2329d3df,None,11,13,None,None,None,
2023-03-19T11:27:15+01:00,af4b62a593cc4fa6d7d34110c41301028a5c9695,None,11,13,None,None,None,
2023-03-19T11:29:35+01:00,02e4697055519ed206fa76e4ef9abb9f156cd1a0,None,11,13,None,None,None,
2023-03-25T09:17:44+01:00,24b37e4586ba610d331048446bd036bec5544c4f,None,None,12,None,None,None,
2023-03-25T09:20:58+01:00,b973e40e45d75c3b3391141d149d4186494d4652,None,None,12,None,None,None,
